customer_id,signup_date,country,device,acquisition_channel,plan,gross_mrr,discount_rate,net_mrr,monthly_sessions,support_tickets_last_90d,nps_score,is_churned,churn_date
C00001,2024-03-09,India,Desktop,Referral,Basic,99.0,0.093,89.79,12,3,6,1,2025-03-20
C00002,2025-08-12,Germany,Mobile,Organic,Basic,99.0,0.083,90.78,21,0,6,1,2026-01-12
C00003,2025-05-13,South Africa,Mobile,Paid Search,Standard,179.0,0.136,154.66,20,1,6,0,
C00004,2024-11-30,Nigeria,Mobile,Organic,Standard,179.0,0.071,166.29,19,2,7,0,
C00005,2024-11-25,South Africa,Mobile,Organic,Basic,99.0,0.088,90.29,39,1,9,0,
C00006,2025-10-16,Nigeria,Mobile,Partner,Basic,99.0,0.156,83.56,6,1,10,0,
C00007,2024-03-06,Kenya,Desktop,Paid Social,Standard,179.0,0.129,155.91,29,1,5,0,
C00008,2025-06-15,United Kingdom,Mobile,Partner,Premium,299.0,0.197,240.1,17,1,7,0,
C00009,2024-06-02,Kenya,Mobile,Paid Search,Standard,179.0,0.165,149.46,22,2,7,1,2024-08-06
C00010,2024-03-12,USA,Desktop,Paid Search,Basic,99.0,0.15,84.15,39,1,10,0,
C00011,2025-02-05,South Africa,Mobile,Paid Search,Basic,99.0,0.204,78.8,10,1,9,1,2026-02-22
C00012,2026-01-13,South Africa,Desktop,Organic,Standard,179.0,0.083,164.14,15,1,4,1,2027-03-11
C00013,2025-07-14,South Africa,Mobile,Organic,Basic,99.0,0.094,89.69,18,2,8,1,2026-03-03
C00014,2025-08-02,Kenya,Mobile,Paid Search,Standard,179.0,0.179,146.96,14,1,7,0,
C00015,2025-06-30,Nigeria,Mobile,Organic,Standard,179.0,0.033,173.09,28,0,9,0,
C00016,2025-08-21,Nigeria,Tablet,Partner,Basic,99.0,0.049,94.15,14,0,9,0,
C00017,2025-01-26,Germany,Desktop,Organic,Basic,99.0,0.028,96.23,23,2,5,0,
C00018,2024-04-07,South Africa,Mobile,Organic,Basic,99.0,0.084,90.68,7,0,8,0,
C00019,2025-10-01,United Kingdom,Mobile,Referral,Premium,299.0,0.066,279.27,10,3,7,1,2027-02-17
C00020,2024-12-09,Germany,Desktop,Organic,Standard,179.0,0.097,161.64,19,2,7,0,
C00021,2025-01-16,South Africa,Desktop,Referral,Basic,99.0,0.034,95.63,5,1,7,0,
C00022,2024-10-09,South Africa,Mobile,Paid Social,Premium,299.0,0.026,291.23,36,1,4,0,
C00023,2024-05-19,South Africa,Desktop,Organic,Standard,179.0,0.079,164.86,9,4,6,1,2024-10-20
C00024,2025-12-07,South Africa,Desktop,Paid Social,Standard,179.0,0.08,164.68,13,1,6,1,2027-02-08
C00025,2025-08-18,India,Desktop,Paid Social,Premium,299.0,0.048,284.65,27,0,6,0,
C00026,2025-05-05,USA,Mobile,Paid Social,Basic,99.0,0.247,74.55,13,1,5,1,2026-09-21
C00027,2024-11-02,Nigeria,Mobile,Referral,Basic,99.0,0.001,98.9,6,0,6,1,2025-11-28
C00028,2025-09-18,South Africa,Tablet,Paid Social,Standard,179.0,0.056,168.98,37,0,5,1,2026-08-17
C00029,2025-02-19,United Kingdom,Mobile,Paid Social,Basic,99.0,0.049,94.15,10,1,6,1,2025-08-22
C00030,2024-12-03,Germany,Mobile,Organic,Standard,179.0,0.065,167.36,19,2,3,1,2024-12-12
C00031,2024-12-09,South Africa,Mobile,Paid Social,Basic,99.0,0.151,84.05,16,1,10,0,
C00032,2024-06-22,India,Mobile,Partner,Basic,99.0,0.195,79.69,24,0,7,0,
C00033,2024-03-11,South Africa,Desktop,Paid Social,Basic,99.0,0.091,89.99,22,0,5,0,
C00034,2025-02-26,South Africa,Mobile,Paid Social,Basic,99.0,0.156,83.56,11,0,1,1,2025-11-20
C00035,2025-11-07,South Africa,Desktop,Paid Search,Basic,99.0,0.121,87.02,15,0,8,1,2026-12-17
C00036,2024-02-18,South Africa,Mobile,Paid Social,Basic,99.0,0.212,78.01,16,1,7,1,2025-07-03
C00037,2025-10-16,USA,Mobile,Partner,Premium,299.0,0.142,256.54,30,0,8,0,
C00038,2025-09-22,South Africa,Mobile,Organic,Basic,99.0,0.031,95.93,9,3,7,1,2026-12-21
C00039,2024-07-29,South Africa,Desktop,Organic,Basic,99.0,0.032,95.83,34,3,8,0,
C00040,2025-04-26,South Africa,Mobile,Paid Search,Basic,99.0,0.205,78.7,12,1,8,0,
C00041,2024-05-05,South Africa,Mobile,Paid Search,Basic,99.0,0.116,87.52,18,2,5,1,2025-01-05
C00042,2025-07-31,South Africa,Desktop,Paid Search,Basic,99.0,0.247,74.55,9,5,4,1,2026-01-20
C00043,2025-06-17,South Africa,Mobile,Organic,Standard,179.0,0.043,171.3,11,1,8,0,
C00044,2024-09-27,United Kingdom,Mobile,Paid Search,Basic,99.0,0.049,94.15,11,1,8,1,2025-02-05
C00045,2024-02-21,South Africa,Mobile,Paid Social,Premium,299.0,0.197,240.1,16,1,6,1,2024-09-26
C00046,2026-01-09,India,Desktop,Paid Social,Premium,299.0,0.15,254.15,21,0,10,0,
C00047,2024-12-05,South Africa,Mobile,Paid Social,Basic,99.0,0.134,85.73,10,3,6,1,2026-01-23
C00048,2025-11-11,Germany,Mobile,Paid Social,Basic,99.0,0.128,86.33,24,0,7,1,2026-10-17
C00049,2025-05-31,India,Mobile,Paid Social,Basic,99.0,0.213,77.91,12,2,10,0,
C00050,2025-08-16,South Africa,Mobile,Referral,Standard,179.0,0.097,161.64,14,1,9,1,2025-12-14
C00051,2025-08-02,South Africa,Mobile,Paid Social,Basic,99.0,0.134,85.73,15,1,9,1,2026-05-20
C00052,2024-05-28,USA,Mobile,Paid Search,Premium,299.0,0.012,295.41,32,5,4,1,2025-03-08
C00053,2024-10-04,Kenya,Mobile,Paid Social,Standard,179.0,0.112,158.95,23,3,9,1,2025-11-26
C00054,2024-12-21,United Kingdom,Mobile,Organic,Premium,299.0,0.089,272.39,23,1,7,0,
C00055,2025-01-14,South Africa,Desktop,Organic,Standard,179.0,0.066,167.19,10,3,6,0,
C00056,2024-02-03,South Africa,Mobile,Paid Search,Premium,299.0,0.013,295.11,15,0,3,0,
C00057,2025-02-20,Kenya,Mobile,Referral,Basic,99.0,0.092,89.89,8,0,8,0,
C00058,2024-04-27,USA,Desktop,Paid Social,Basic,99.0,0.207,78.51,28,1,4,1,2024-09-03
C00059,2025-07-20,South Africa,Desktop,Organic,Basic,99.0,0.066,92.47,22,5,6,1,2025-08-14
C00060,2025-06-04,India,Desktop,Paid Social,Premium,299.0,0.006,297.21,17,2,5,0,
C00061,2025-12-03,United Kingdom,Mobile,Organic,Standard,179.0,0.065,167.36,16,0,9,1,2026-06-19
C00062,2025-07-21,South Africa,Mobile,Paid Social,Premium,299.0,0.014,294.81,17,2,8,0,
C00063,2024-10-06,South Africa,Mobile,Referral,Basic,99.0,0.039,95.14,11,0,10,0,
C00064,2026-01-07,South Africa,Mobile,Paid Social,Premium,299.0,0.157,252.06,28,3,3,1,2026-07-22
C00065,2024-11-09,South Africa,Mobile,Paid Social,Standard,179.0,0.228,138.19,19,0,9,1,2025-01-11
C00066,2024-09-05,United Kingdom,Mobile,Organic,Standard,179.0,0.036,172.56,38,4,2,1,2026-01-02
C00067,2025-11-21,South Africa,Mobile,Paid Search,Premium,299.0,0.215,234.72,34,0,8,0,
C00068,2024-10-09,South Africa,Mobile,Referral,Basic,99.0,0.08,91.08,28,2,5,1,2025-11-11
C00069,2024-02-28,Germany,Mobile,Paid Social,Basic,99.0,0.005,98.5,23,2,5,1,2025-03-06
C00070,2024-12-23,Nigeria,Mobile,Paid Search,Standard,179.0,0.06,168.26,18,1,5,1,2025-12-02
C00071,2025-08-29,Kenya,Desktop,Organic,Basic,99.0,0.028,96.23,23,0,6,0,
C00072,2024-05-24,Nigeria,Desktop,Organic,Basic,99.0,0.023,96.72,15,0,5,0,
C00073,2024-12-18,South Africa,Mobile,Organic,Basic,99.0,0.079,91.18,31,0,6,0,
C00074,2024-04-09,United Kingdom,Mobile,Organic,Basic,99.0,0.045,94.54,21,0,6,1,2025-04-30
C00075,2025-06-07,South Africa,Mobile,Organic,Premium,299.0,0.028,290.63,26,2,8,1,2026-06-28
C00076,2024-12-28,South Africa,Mobile,Partner,Standard,179.0,0.185,145.88,22,0,8,0,
C00077,2024-09-08,South Africa,Desktop,Paid Search,Basic,99.0,0.18,81.18,32,2,8,1,2025-10-30
C00078,2024-06-21,Nigeria,Mobile,Organic,Basic,99.0,0.017,97.32,7,2,3,1,2025-01-09
C00079,2025-03-06,Nigeria,Mobile,Organic,Basic,99.0,0.083,90.78,33,1,6,0,
C00080,2025-05-25,South Africa,Mobile,Organic,Standard,179.0,0.055,169.16,20,2,7,1,2026-09-09
C00081,2025-12-17,India,Mobile,Referral,Premium,299.0,0.077,275.98,13,1,7,1,2026-04-23
C00082,2024-11-29,India,Mobile,Paid Search,Premium,299.0,0.228,230.83,18,2,6,0,
C00083,2024-05-02,South Africa,Mobile,Referral,Basic,99.0,0.094,89.69,5,3,8,0,
C00084,2025-09-26,Germany,Tablet,Referral,Basic,99.0,0.006,98.41,23,4,4,1,2026-01-30
C00085,2025-04-24,South Africa,Mobile,Organic,Standard,179.0,0.08,164.68,13,2,5,1,2026-07-15
C00086,2025-06-17,Brazil,Mobile,Paid Social,Standard,179.0,0.047,170.59,22,1,8,0,
C00087,2024-03-15,South Africa,Mobile,Partner,Standard,179.0,0.092,162.53,30,4,5,1,2024-03-24
C00088,2024-08-26,South Africa,Mobile,Paid Search,Standard,179.0,0.067,167.01,16,1,5,1,2026-01-03
C00089,2025-08-08,South Africa,Mobile,Organic,Standard,179.0,0.04,171.84,19,0,6,0,
C00090,2025-09-26,South Africa,Mobile,Partner,Basic,99.0,0.036,95.44,8,1,5,0,
C00091,2024-11-27,Germany,Desktop,Referral,Basic,99.0,0.061,92.96,15,3,6,0,
C00092,2025-09-05,Kenya,Mobile,Paid Search,Basic,99.0,0.246,74.65,39,2,8,1,2026-06-11
C00093,2025-10-03,South Africa,Mobile,Paid Search,Basic,99.0,0.172,81.97,24,1,6,1,2025-10-25
C00094,2024-10-22,Kenya,Mobile,Organic,Basic,99.0,0.091,89.99,16,1,9,0,
C00095,2025-11-15,USA,Mobile,Referral,Standard,179.0,0.056,168.98,16,0,8,0,
C00096,2024-08-07,India,Mobile,Paid Search,Basic,99.0,0.161,83.06,18,3,4,1,2025-08-08
C00097,2024-07-01,Kenya,Desktop,Organic,Basic,99.0,0.002,98.8,19,1,4,0,
C00098,2025-06-04,South Africa,Mobile,Paid Social,Standard,179.0,0.165,149.46,18,3,3,1,2026-04-20
